mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Player
-0.5142,0.6383,-1.6996,0.6745,0.0064,0.0126,9701.2751,2672.0634,1.0002,Adam Edelson
0.5232,0.5083,-0.4306,1.4867,0.0052,0.0088,9673.9499,3070.6139,1.0007,Samuel Chang
-0.2146,0.6767,-1.4744,1.0397,0.0075,0.0109,8255.8496,3301.9693,1.0016,Tyler Stechman
0.0242,0.5422,-1.0106,1.0206,0.0056,0.0109,9352.9072,2508.5563,1.0002,Lorenzo Terlizzi
0.5604,0.5994,-0.6011,1.6473,0.007,0.0106,7285.1673,3165.5216,0.9999,Sebastian Sachse
1.0175,0.5407,0.0606,2.0936,0.0053,0.0097,10519.0773,2887.8197,1.0012,Bassel Nasri
1.7129,0.5843,0.5716,2.7503,0.0055,0.0109,11187.3111,3208.9383,1.0012,Mason Buonadonna
-0.1171,0.7582,-1.5761,1.3197,0.0074,0.0155,10529.1087,2575.9093,1.0008,Greg Michel
1.0893,0.5651,0.0637,2.2154,0.0055,0.01,10760.988,3170.0532,1.0011,Hyuma Nishi
0.1611,0.5397,-0.8009,1.2084,0.0051,0.0096,11144.8242,3035.1176,1.0,Karl Sarap
0.4624,0.5178,-0.5154,1.4013,0.0052,0.0093,9925.1186,2765.026,1.0041,Mitchell Tamblyn
-0.2894,0.6768,-1.5403,0.9681,0.0069,0.0121,9761.3452,2919.8432,1.0002,Hanbin Zhou
-0.1736,0.6954,-1.4672,1.1616,0.0072,0.0112,9270.6194,3210.8506,0.9995,Justin Cheung
0.3656,0.6303,-0.7878,1.5831,0.0072,0.0102,7715.4305,3206.2168,0.9999,Linden Koot
1.6505,0.5628,0.6784,2.7714,0.0061,0.0107,8588.9874,2713.7284,1.0023,Dean Convery
-0.2865,0.5488,-1.3114,0.7494,0.0055,0.0096,9889.1148,3199.3583,1.0026,Nathanael Perigo
0.3799,0.5861,-0.7074,1.4521,0.0061,0.0093,9349.1408,3169.2782,1.001,Javier Dominguez
-1.1123,0.75,-2.5423,0.2397,0.0077,0.0136,9599.2589,2849.0857,1.0004,Zach Aymie
0.6629,0.5538,-0.3884,1.6679,0.0054,0.0091,10685.4041,3055.571,1.0006,Davor Detecnik
0.1157,0.6679,-1.1049,1.4148,0.0068,0.0128,9581.2287,3127.9382,1.0022,Kyle Gellert
0.7461,0.5137,-0.2127,1.7375,0.0049,0.0095,10931.2341,2551.4242,1.0011,Aidan Mirabelli
0.8781,0.5984,-0.2845,1.9463,0.0065,0.0102,8315.5376,2822.3091,0.9998,Raul Porojan
0.8114,0.522,-0.1264,1.8089,0.0046,0.0098,12609.7377,2928.6929,1.0011,Jean-Emmanuel Depraz
-0.2242,0.6665,-1.5287,0.9733,0.0063,0.0115,11147.5164,3025.9565,1.0043,Robert Wagner Krankel
0.4739,0.5339,-0.5241,1.4808,0.0056,0.0092,9170.6505,2958.7511,1.0011,Sam Bogue
-1.3174,0.7421,-2.6571,0.0973,0.0069,0.0133,11300.4346,2617.111,1.0035,Shi Yang
-0.4948,0.687,-1.6897,0.8513,0.0075,0.0109,8293.2844,3160.2815,0.9998,Jennifer-Rose Holloway
1.1396,0.5575,0.0718,2.1719,0.0058,0.0105,9202.9317,2702.0561,1.0034,Toni Portolan
-0.4771,0.6966,-1.7312,0.8376,0.0075,0.0112,8764.045,3129.8542,1.0003,Matt Carwen
-0.3334,0.6728,-1.6035,0.9475,0.0063,0.0139,11339.3981,2669.796,1.0016,Guglielmo Lupi
-1.2922,0.7927,-2.7818,0.1645,0.0078,0.0141,10372.568,2594.3273,1.0016,Shoji Kimura
-0.645,0.6902,-1.9575,0.6143,0.0071,0.0112,9436.2673,2805.1769,0.9999,Lucas Lim
-0.8195,0.7519,-2.2774,0.5928,0.0079,0.0149,9102.401,2603.357,1.0013,Soichiro Kohara
1.453,0.5667,0.4073,2.5383,0.0051,0.0104,12334.062,2782.0492,1.0003,Quinn Tonole
-1.0376,0.8155,-2.6844,0.4064,0.0086,0.0172,9082.5407,2779.9084,1.0033,Keyan Jafari
-0.1489,0.6233,-1.382,0.9397,0.0068,0.0101,8388.2086,3074.9212,1.001,Eli Kassis
0.2348,0.552,-0.7905,1.2491,0.0054,0.0102,10655.807,3364.7065,1.0006,Joe Leo
-1.0224,0.8119,-2.5868,0.4501,0.0095,0.0151,7496.2091,2415.3568,1.0023,Poyuan Tsao
-0.2921,0.6686,-1.5094,0.9862,0.0068,0.012,9596.952,3146.3715,1.0029,Theodore Jung
-0.9646,0.7758,-2.4089,0.4893,0.0085,0.0126,8344.5678,3172.8761,1.0009,Sebastian Kreimendahl
0.6495,0.5666,-0.4153,1.7214,0.0063,0.0106,8077.0314,2693.2967,0.9997,Arch Dota
0.856,0.4994,-0.0545,1.8267,0.0045,0.0088,12200.3007,2934.9603,1.0021,Thirawat Chaovarindr
-1.5495,0.7146,-2.8782,-0.2417,0.0071,0.0128,10367.0305,2733.9199,1.0,Naoya Ozawa
-1.6825,0.676,-2.9602,-0.4606,0.0066,0.0134,10799.898,2938.2054,1.0035,Sébastien Lachance
-0.0029,0.5477,-1.0189,1.0039,0.0059,0.0101,8702.2991,3112.4207,1.0006,Christian Calcano
-0.0502,0.538,-0.9946,1.0285,0.0046,0.0098,13318.5255,2872.9872,1.0002,Yuuki Ichikawa
0.3675,0.7385,-1.0235,1.714,0.0071,0.0142,11030.3197,2628.0339,1.0021,Julian Korfine
0.2153,0.5154,-0.7679,1.1655,0.0051,0.0091,10227.3925,3276.3651,1.0029,Andrew Kidston
1.0054,0.5797,-0.1071,2.0819,0.0063,0.0098,8587.2019,3011.9893,1.003,Luna Eason
-0.013,0.6786,-1.3358,1.2453,0.0076,0.0133,8013.6978,2792.5988,1.0049,Keisuke Sato
-0.8696,0.7298,-2.2039,0.5344,0.0076,0.015,9255.2957,2580.7825,1.0002,Jayson Babin
-0.2786,0.6305,-1.4705,0.8735,0.0061,0.0122,10664.6326,2911.7283,1.0014,Sean Goddard
-0.1406,0.7436,-1.5443,1.2894,0.0073,0.0142,10526.7538,2821.4495,1.0021,Adam Bubar
-1.3432,0.7627,-2.7652,0.0572,0.0083,0.0144,8440.271,2596.7833,1.0014,Clement Choo
-0.0483,0.693,-1.3032,1.2831,0.0064,0.0158,11794.7218,2494.8112,1.0007,Marco Belacca
0.5124,0.672,-0.742,1.7627,0.0076,0.0122,7861.4813,2921.5579,1.0,Carlos Sousa
-1.0722,0.712,-2.4557,0.2608,0.0076,0.0112,8689.9154,3446.3186,1.0018,Ellango Jothimurugesan
-0.3209,0.6359,-1.4946,0.8888,0.0068,0.0116,8710.4279,2672.9424,0.9997,Edgar Magalhaes
-1.5887,0.6671,-2.9065,-0.3704,0.0072,0.0118,8671.683,2615.3531,1.0019,Masahide Moriyama
-0.4148,0.6595,-1.6216,0.8621,0.0069,0.0123,9249.1758,3080.5392,1.0001,Caleb Rosenbaum
0.0723,0.5044,-0.8602,1.0306,0.0051,0.0097,9719.9214,3031.4872,1.0012,Yuchen Liu
0.9627,0.5319,-0.0639,1.9081,0.0053,0.0096,10090.9441,2867.0722,1.0033,Liam Kane
0.8337,0.5458,-0.1445,1.8991,0.0055,0.0097,9919.7075,2867.8187,1.0,Ryan Condon
-0.2965,0.5482,-1.3409,0.7055,0.006,0.0088,8362.8222,3417.0528,0.9999,Jacob Durish
-0.2657,0.5686,-1.3394,0.7804,0.0063,0.0095,8239.4283,3035.0172,1.001,Ma Noah
-0.2068,0.6906,-1.5238,1.0429,0.0063,0.0127,12152.3657,3111.4967,1.0025,Dawson Courson
0.6588,0.5728,-0.4437,1.695,0.0056,0.0101,10323.0245,3042.1966,1.0006,Reid Duke
1.1367,0.526,0.1498,2.1278,0.0052,0.0098,10136.1912,2939.2036,1.0014,Tariq Patel
0.7272,0.5201,-0.2672,1.7055,0.0055,0.0095,9063.124,2927.8055,1.0001,Arne Huschenbeth
-0.5179,0.803,-2.0394,0.9326,0.0083,0.0166,9369.1997,2463.9019,1.0004,Garrett Bryan
-0.1745,0.7493,-1.735,1.0554,0.0075,0.0131,9840.7573,3218.0396,1.0008,Aarni Rantamäki
-0.0826,0.557,-1.1759,0.9513,0.0057,0.0103,9460.571,2482.5113,1.0008,Brent Vos
0.562,0.5524,-0.4891,1.5966,0.0061,0.0108,8312.3506,2781.8101,1.001,Jerry Gao
-0.4757,0.6832,-1.831,0.7459,0.0067,0.0115,10421.9902,3329.7706,1.0022,Alex Bianchi
-1.0518,0.8133,-2.4819,0.5545,0.0088,0.0137,8447.8671,2858.2169,1.0002,Thomas Munk
0.5884,0.5486,-0.4441,1.5939,0.0058,0.0107,9081.9238,2901.0082,1.0003,Connor Mackenzie
0.5033,0.5644,-0.5181,1.6109,0.0053,0.0099,11203.1296,3211.4428,1.0042,František Vitula
1.6094,0.5484,0.5572,2.6343,0.0056,0.0105,9711.1699,2803.2469,1.0,Michael DeBenedetto-Plummer
-0.44,0.6768,-1.6795,0.8686,0.0075,0.0105,8113.7288,3158.39,0.9996,Matt Xu
0.5514,0.5444,-0.618,1.4884,0.006,0.0113,8266.8973,2540.604,1.0016,Christian Baker
0.6454,0.5663,-0.4211,1.7096,0.0055,0.0097,10262.7466,3489.1164,1.0009,Shaun Henry
0.5648,0.5854,-0.5748,1.5996,0.0062,0.0102,9084.7712,2907.1732,1.0005,Samuele Estratti
1.0094,0.561,-0.046,2.0572,0.0054,0.0099,10626.7077,3138.4011,0.9998,Stefan Schütz
-0.4092,0.6333,-1.6835,0.6927,0.0062,0.0106,10429.6714,3100.1024,1.0011,Chas Hinkle
-0.3316,0.6947,-1.6242,0.9785,0.0067,0.0137,10923.3314,2642.4847,1.0052,Marco Orellana
0.1736,0.5257,-0.8093,1.1438,0.0053,0.009,9997.8249,3209.1652,1.002,Keita Tonouchi
-0.4607,0.6825,-1.6608,0.8561,0.0067,0.0131,10682.3135,2994.6079,1.0008,Adriano Moscato
0.0843,0.7624,-1.2992,1.5534,0.008,0.0136,9136.8949,2824.6795,1.0004,Alberto Manchado
-0.3911,0.6786,-1.7196,0.856,0.0073,0.0126,8664.1462,2675.913,1.0051,Michal Lewicki
0.8971,0.5357,-0.1263,1.8997,0.0057,0.0102,8975.5629,2889.0018,1.0009,Guilherme Merjam
1.1204,0.5656,0.045,2.1502,0.006,0.0096,8963.6179,3123.8087,1.0044,Akira Shibata
-0.7397,0.6492,-1.9818,0.4923,0.0064,0.0122,10286.9923,2650.336,1.002,Joan García Esquerdo
0.4587,0.536,-0.5169,1.443,0.0057,0.009,8883.8585,3089.4457,1.0028,Jacob Milchman
-0.1851,0.5124,-1.1136,0.7615,0.0055,0.008,8496.7338,3290.0833,1.0006,Shintaro Ishimura
-1.5924,0.6952,-2.8563,-0.2622,0.0066,0.0125,11102.3615,2754.2082,1.0005,Kelvin Chew
0.0687,0.5677,-1.0196,1.1187,0.0062,0.0091,8416.3217,3413.3319,1.0017,Chris Botelho
-0.9096,0.6789,-2.2383,0.3174,0.0072,0.012,8787.7121,3065.3537,1.0002,James Dimitrov
0.2366,0.5771,-0.8906,1.2641,0.006,0.0102,9199.6294,2662.5376,1.0015,Marc Gargallo
0.1901,0.5715,-0.8733,1.2608,0.0057,0.0098,10189.8579,3235.5169,1.002,Nicole Tipple
-0.2395,0.6823,-1.5472,1.0172,0.0068,0.0129,9880.2669,2765.9181,1.0003,Daniel Spiegel
0.2003,0.5544,-0.8524,1.2144,0.006,0.0097,8467.4303,3164.7127,1.0,Ittai Waterson
1.2197,0.5751,0.1636,2.3137,0.006,0.0108,9197.091,2696.2923,1.0011,Dylan Nollen
-0.6113,0.6617,-1.8009,0.6817,0.0063,0.013,11134.4376,2773.9424,1.0032,Robert Pounds
0.9115,0.5179,-0.0714,1.8832,0.0056,0.0087,8601.4623,2967.7019,1.0006,Andrew Elenbogen
1.4279,0.6868,0.2445,2.8167,0.0078,0.012,7665.5913,2868.7408,1.0009,Benton Madsen
-1.161,0.803,-2.5928,0.3457,0.0084,0.0152,9061.0569,2595.2785,1.0004,Burke Methena
0.5714,0.5274,-0.4702,1.5582,0.005,0.0107,11030.8791,2667.8905,0.9999,Adrian Kacperczyk-Perdyan
-0.5691,0.6606,-1.7815,0.694,0.0076,0.0103,7611.8091,3209.9638,1.0003,Yuya Hosokawa
-0.983,0.6906,-2.2056,0.3862,0.0071,0.0127,9344.3143,2885.7355,1.0011,Andrew Bailey
0.6586,0.5444,-0.3147,1.7065,0.0054,0.0102,10053.8728,2849.3467,1.0014,Zihao Ji
-0.0334,0.7571,-1.4429,1.4177,0.0076,0.0131,9929.5973,3082.8717,1.0007,Yuta Takahashi
-1.2348,0.7744,-2.6308,0.258,0.0079,0.0146,9492.7571,2631.3188,1.003,Raffaele Mazza
-1.5123,0.6648,-2.8226,-0.3208,0.0067,0.0122,10138.692,2693.7253,0.9997,Sun Chuan
-1.1794,0.7326,-2.5338,0.2038,0.0074,0.0135,9773.888,2894.0397,1.0016,Percy Fang
-1.5255,0.7311,-2.9335,-0.1613,0.0074,0.0132,9836.3035,2783.8767,1.0016,Anthony Lee
0.0631,0.5413,-0.9704,1.0522,0.0056,0.011,9444.0126,2895.0962,1.0013,Abe Schnake
0.683,0.5415,-0.3134,1.7023,0.0058,0.0102,8786.0636,2861.2348,1.0024,Collins Mullen
-0.7506,0.6806,-2.0949,0.4756,0.0066,0.0137,10478.7661,2881.2082,0.9998,Gavin Meagher
0.3717,0.6034,-0.7634,1.5203,0.0059,0.0107,10539.0534,3158.9967,1.0021,Javier Del Pino Povedano
0.6801,0.5779,-0.4499,1.7459,0.0057,0.0098,10264.5415,3261.4042,1.0002,Yoshihiko Ikawa
-1.112,0.7232,-2.4789,0.1881,0.0071,0.014,10503.9513,3117.7853,1.0047,Sam Pardee
1.6914,0.5229,0.7005,2.6737,0.0056,0.0089,8679.9156,3070.5143,1.0009,Mikko Airaksinen
-0.5894,0.7851,-2.1144,0.8344,0.0072,0.015,11790.2892,2683.804,1.0041,Jordan Poirier
-0.2164,0.7093,-1.5835,1.0559,0.0071,0.0138,9851.9165,2955.6379,1.0019,Andy Garcia-Romo
-0.4274,0.6338,-1.5889,0.7697,0.0061,0.0107,10637.9027,3067.4455,1.0005,Jared Mazzant
-0.2655,0.719,-1.6283,1.0689,0.0069,0.0128,10760.8591,2945.2429,1.0003,Christopher Leonard
1.5213,0.5613,0.4627,2.5731,0.0058,0.0097,9536.022,2570.5684,1.0005,Luis Salvatto
0.687,0.5361,-0.271,1.7125,0.0057,0.0092,8617.8196,3044.8152,1.0017,Lane Siems
-0.9737,0.6998,-2.2638,0.351,0.0082,0.0133,7234.26,3014.2057,1.0,Geoff Mullin
0.025,0.5608,-0.9988,1.1102,0.0054,0.0108,10783.8749,2611.9265,1.0018,Šarunas Liobikas
-0.2996,0.7287,-1.6343,1.1035,0.0079,0.0124,8552.2284,2820.6588,0.9997,Jelco Bodewes
-1.1566,0.7738,-2.661,0.2775,0.0071,0.0141,11899.3935,2952.113,0.9999,Jose Hilario
-1.204,0.7627,-2.7134,0.1391,0.0071,0.0127,11668.8408,2970.4524,1.0,Mario Flores
-1.3314,0.7654,-2.8638,0.01,0.0078,0.0142,9869.2171,2569.8598,1.0014,Pedro Flores
-1.3174,0.7655,-2.7643,0.0677,0.0073,0.0139,10808.5557,2849.6215,1.0033,Chris Kral
-1.6335,0.676,-2.9558,-0.4598,0.0065,0.0118,10921.1613,2743.9043,1.0001,Jeff Carr
1.4319,0.5592,0.3409,2.4501,0.006,0.0099,8756.8285,3089.6936,1.0032,Alex Friedrichsen
1.3032,0.5978,0.1488,2.3784,0.0064,0.0112,8715.2041,2990.4254,1.0017,Thierry Ramboa
-1.0292,0.8012,-2.4106,0.5687,0.0077,0.0157,10953.0609,2508.3135,1.0007,Simon Greir
-0.2047,0.6305,-1.4201,0.9467,0.0066,0.0108,9124.6058,3183.6641,1.0014,Carlo Tummolillo
