mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,Player
-0.0555,0.5291,-1.0009,0.9864,0.0055,0.0095,9285.9396,3021.288,1.0009,Callum Laird
-0.296,0.922,-2.0751,1.3775,0.0089,0.0167,10878.953,2717.5611,1.0034,Makoto Horiuchi
-0.7384,0.6535,-2.0116,0.4102,0.006,0.0109,11921.4947,3034.1342,1.0031,Wesley Hickman
-1.1252,0.7807,-2.5442,0.3603,0.0073,0.0148,11502.6671,3149.3588,1.001,Luís Gobern
1.0678,0.5747,0.0477,2.1569,0.0065,0.0091,7787.0362,3267.7948,1.0002,Marco Fabrizi
0.3551,0.553,-0.7359,1.3346,0.0058,0.0096,9155.0043,3041.1631,0.9997,Matti Kuisma
0.2017,0.7154,-1.0465,1.6032,0.008,0.0154,7870.4691,2539.1905,1.0002,Jacob Nagro
-0.4768,0.6885,-1.749,0.8211,0.007,0.0115,9535.0182,2996.2477,1.0042,Kazuya Hirabayashi
-0.0929,0.5,-1.0303,0.8522,0.0051,0.0091,9480.1979,3032.2614,1.0033,Ken Yukuhiro
-0.335,0.7198,-1.6973,0.9738,0.0082,0.0123,7697.712,3110.727,1.0019,Jesse Piland
-0.2017,0.6337,-1.3392,1.0175,0.0061,0.011,10913.11,3013.6278,0.9996,Chris Barone
0.8251,0.5251,-0.1235,1.8269,0.0052,0.009,10157.1712,3011.1218,1.0014,Gonçalo Bragança
-1.3285,0.7674,-2.7883,0.0508,0.0077,0.0153,10034.2331,2903.6359,1.0005,Hidde Van 't Verlaat
-0.2792,0.6918,-1.5797,0.9742,0.0073,0.0125,8956.9883,3183.5994,1.0024,Hunter Ovington
-0.2491,0.6928,-1.5177,1.0828,0.0068,0.0129,10619.1559,2957.3059,1.0019,Takumi Matsuura
0.3228,0.5283,-0.6551,1.3355,0.0055,0.0102,9332.246,2598.945,1.0026,Fernando Palmero García
-0.8385,0.7764,-2.3168,0.5549,0.0085,0.0145,8478.7188,2832.4012,1.0002,Felippe Rossello
-0.8945,0.8168,-2.4063,0.6609,0.008,0.0159,10499.654,2475.8183,1.0019,Kazutaka Oya
-0.4762,0.7133,-1.788,0.9142,0.0068,0.013,11086.9491,2878.1857,1.0024,Ivan Lausevic
0.4451,0.5233,-0.5328,1.4084,0.0053,0.0089,9784.4534,3346.0463,1.0027,Gabriele Vasarri
-0.7927,0.7541,-2.1642,0.6525,0.0074,0.0139,10457.4674,2576.1427,1.0015,Lauri Törnström
0.3626,0.5723,-0.7285,1.4306,0.0066,0.009,7444.6171,3346.4981,1.0006,Kevin Anctil
-0.1197,0.5476,-1.1079,0.9464,0.0056,0.0101,9600.0954,2906.5216,1.0016,Forrest Wang
-0.5813,0.8537,-2.208,0.9484,0.0079,0.0163,11820.4825,3064.4456,1.0005,Connor Mcgillivray
-1.3662,0.7135,-2.6516,-0.0251,0.0077,0.0119,8718.4567,2993.1976,1.0036,Cristian Rodríguez
-1.0415,0.7694,-2.4576,0.432,0.0078,0.0135,9603.8703,3051.229,0.9999,Tobia Nappi
-0.56,0.9342,-2.2881,1.2371,0.0091,0.0183,10482.2347,2679.8152,1.0018,Kieren Digpal
0.1397,0.7192,-1.2451,1.4468,0.007,0.0126,10579.0243,2943.3577,1.0004,Alexander Rosdahl
0.0118,0.8291,-1.4849,1.664,0.0079,0.0158,11129.2438,2887.4156,1.0021,Keisuke Naitou
0.4659,0.5893,-0.6732,1.4885,0.0066,0.01,8096.8541,3382.6968,1.0003,Jason Ye
0.3607,0.5485,-0.6345,1.3858,0.0057,0.0103,9267.8322,3094.1075,1.0023,Tatsuaki Yajima
-0.7847,0.6761,-2.0624,0.5061,0.0072,0.0125,8939.3883,2775.7588,1.001,Félix Vincent Ardea
-0.4836,0.6909,-1.7535,0.795,0.0072,0.0152,9303.2093,2657.1968,0.9998,Casey Miller
-0.9813,0.7928,-2.4639,0.5063,0.0081,0.0138,9657.2313,2785.591,1.0005,Freddy Paredes
0.2753,0.7957,-1.1393,1.8979,0.0079,0.0158,10068.3417,2747.5911,1.0021,Marcio Carvalho
-1.1362,0.7786,-2.5817,0.3273,0.0072,0.0143,11818.4666,2995.8548,1.0039,Wu Jia
-0.288,0.6881,-1.6469,0.9221,0.0075,0.0129,8396.2458,2848.5943,1.0003,Jennifer Wang
-0.1657,0.5595,-1.2357,0.8525,0.0058,0.0117,9424.7509,2498.5684,1.0028,Sam Lewin
1.1322,0.5812,0.0183,2.227,0.0058,0.0119,10244.2017,2834.6339,1.0007,Cyprien Tron
0.6355,0.5692,-0.4613,1.6771,0.0057,0.01,9900.3256,3222.706,0.9998,Benjamin Graves
0.8312,0.5424,-0.1536,1.9006,0.0057,0.0095,8931.262,3128.4911,1.0015,Josep Sanfeliu
-0.8584,0.7959,-2.3927,0.6099,0.0079,0.0154,10280.1703,2558.828,0.9998,Jacques Van Eeden
-1.8011,0.7473,-3.2927,-0.4589,0.0078,0.0139,9346.1915,2985.3998,1.0032,Daniel Isaías
-0.7279,0.8508,-2.2092,0.9763,0.0079,0.0163,11565.9227,2905.6292,1.0019,Matthew Costa
-1.1264,0.7767,-2.5602,0.3852,0.0078,0.0136,10091.5266,3100.7901,1.0003,Fernando Domínguez
0.5939,0.5469,-0.4383,1.6079,0.0051,0.0097,11157.6319,3053.2225,1.001,Steve Stillman
-1.0117,0.7953,-2.5107,0.4939,0.0084,0.0148,9071.972,2960.9812,1.0021,Chris Song
-0.5904,0.8268,-2.1279,0.9986,0.008,0.0165,10621.088,2638.8252,0.9993,Shuhei Nakamura
-1.3319,0.6825,-2.5079,0.0477,0.0058,0.0117,14027.0485,2743.3979,1.0021,Marcelo Cavalcante
-1.3305,0.7415,-2.7535,0.0684,0.0075,0.0125,9885.4797,2976.6223,1.002,Yasutaka Nagao
-0.5061,0.8404,-2.037,1.0553,0.0088,0.0146,9091.7861,2874.1924,1.0017,Alex Rohan
-0.7281,0.8577,-2.2985,0.8903,0.0082,0.016,10970.5404,2898.2644,1.004,Greg Johnson
-0.7522,0.8525,-2.2974,0.8601,0.0089,0.0141,9174.6775,3271.294,1.0011,Francisco Sánchez
-0.625,0.7637,-2.0348,0.8019,0.0084,0.0158,8324.8898,2422.8909,1.0046,David Rood
-0.9798,0.7955,-2.4643,0.5909,0.0076,0.0149,10994.3401,2668.7744,1.003,Mu Ru Kuo
-0.3838,0.9115,-1.9821,1.3304,0.0094,0.0172,9431.3071,2862.6732,1.0036,Albert Cordobes
